word,reason,lemma,pos,source,context
Training,possible_proper_noun,training,UNKNOWN,trans.pdf,Training zur Prüfung Goethe-Zertifikat...
Prüfung,possible_proper_noun,prüfung,UNKNOWN,trans.pdf,Training zur Prüfung Goethe-Zertifikat Spiros Koukidis...
Goethe-Zertifikat,possible_proper_noun,goethe-zertifikat,UNKNOWN,trans.pdf,Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Spiros,possible_proper_noun,spiros,UNKNOWN,trans.pdf,zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald...
Koukidis,possible_proper_noun,koukidis,UNKNOWN,trans.pdf,Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie...
Jorina,possible_proper_noun,jorina,UNKNOWN,trans.pdf,Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie Liaropoulou...
Grünewald,possible_proper_noun,grünewald,UNKNOWN,trans.pdf,Spiros Koukidis Jorina Grünewald Melanie Liaropoulou Georgina...
Melanie,possible_proper_noun,melanie,UNKNOWN,trans.pdf,Koukidis Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou...
Liaropoulou,possible_proper_noun,liaropoulou,UNKNOWN,trans.pdf,Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar...
Georgina,possible_proper_noun,georgina,UNKNOWN,trans.pdf,Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou,possible_proper_noun,lymperopoulou,UNKNOWN,trans.pdf,Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
Glossar,possible_proper_noun,glossar,UNKNOWN,trans.pdf,Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch von...
Deutsch,possible_proper_noun,deutsch,UNKNOWN,trans.pdf,Georgina Lymperopoulou Glossar Deutsch Griechisch von Georgina...
Griechisch,possible_proper_noun,griechisch,UNKNOWN,trans.pdf,Lymperopoulou Glossar Deutsch Griechisch von Georgina Lymperopoulou...
Georgina,possible_proper_noun,georgina,UNKNOWN,trans.pdf,Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou,possible_proper_noun,lymperopoulou,UNKNOWN,trans.pdf,Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
FaD,possible_proper_noun,fad,UNKNOWN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Werkstatt,possible_proper_noun,werkstatt,UNKNOWN,trans.pdf,FaD galrevlaizepS sixarP Werkstatt Glossar Modul Lesen...
Glossar,possible_proper_noun,glossar,UNKNOWN,trans.pdf,Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch von...
Modul,possible_proper_noun,modul,UNKNOWN,trans.pdf,sixarP Werkstatt Glossar Modul Lesen Lehrbuch Werkstatt...
Lesen,possible_proper_noun,lesen,UNKNOWN,trans.pdf,Werkstatt Glossar Modul Lesen Lehrbuch Werkstatt Praxis...
Lehrbuch,possible_proper_noun,lehrbuch,UNKNOWN,trans.pdf,Glossar Modul Lesen Lehrbuch Werkstatt Praxis Spezialverlag...
Werkstatt,possible_proper_noun,werkstatt,UNKNOWN,trans.pdf,FaD galrevlaizepS sixarP Werkstatt Glossar Modul Lesen...
Praxis,possible_proper_noun,praxis,UNKNOWN,trans.pdf,Lesen Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt...
Spezialverlag,possible_proper_noun,spezialverlag,UNKNOWN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,UNKNOWN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Werkstatt,possible_proper_noun,werkstatt,UNKNOWN,trans.pdf,FaD galrevlaizepS sixarP Werkstatt Glossar Modul Lesen...
Test,possible_proper_noun,test,UNKNOWN,trans.pdf,Spezialverlag DaF Werkstatt Test Lesen Teil S...
Lesen,possible_proper_noun,lesen,UNKNOWN,trans.pdf,Werkstatt Glossar Modul Lesen Lehrbuch Werkstatt Praxis...
Teil,possible_proper_noun,teil,UNKNOWN,trans.pdf,Werkstatt Test Lesen Teil S der Tabak...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
das,stop_word,das,UNKNOWN,trans.pdf,die Auswertung en das Erhebungsjahr e diesjährig...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
das,stop_word,das,UNKNOWN,trans.pdf,die Auswertung en das Erhebungsjahr e diesjährig...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
das,stop_word,das,UNKNOWN,trans.pdf,die Auswertung en das Erhebungsjahr e diesjährig...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
Bezug,possible_proper_noun,bezug,UNKNOWN,trans.pdf,e betreffen in Bezug auf AKK der...
auf,stop_word,auf,UNKNOWN,trans.pdf,betreffen in Bezug auf AKK der Tabakkonzern...
AKK,possible_proper_noun,akk,UNKNOWN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
die,stop_word,die,UNKNOWN,trans.pdf,der Tabak töten die Raucherquote n die...
der,stop_word,der,UNKNOWN,trans.pdf,Lesen Teil S der Tabak töten die...
