original,lemma,article,plural,case_usage,pos,source,context
Abbau,abbau,der,Abbaue,,NOUN,trans.pdf,vor Christus der Abbau das Erz e
abbauen,abbauen,,,"akkusativ, dativ",UNKNOWN,trans.pdf,zum Beispiel Barrieren abbauen und hilfreiche Anhaltspunkte
Abendbrot,abendbrot,das,Abendbrote,,NOUN,trans.pdf,enthüllen vermeintlich das Abendbrot das Akademikerpaar e
Abendessen,abendessen,das,Abendessene,akkusativ,NOUN,trans.pdf,das Glücksprestige das Abendessen der Traumurlaub der
Abendland,abendland,das,Abendlande,,NOUN,trans.pdf,Säule n das Abendland in kulinarischer Hinsicht
abends,abends,,,,UNKNOWN,trans.pdf,Da sie aber abends später müde werden
Abenteurer,abenteurer,der,Abenteurern,,NOUN,trans.pdf,Hippie s der Abenteurer die Abenteurerin nen
Abenteurerin,abenteurerin,die,Abenteurerine,,NOUN,trans.pdf,der Abenteurer die Abenteurerin nen der Sinnsucher
abgebaut,abgebaut,,,dativ,UNKNOWN,trans.pdf,von Mikroorganismen biologisch abgebaut und in unschädli
abgeben,abgeben,,,dativ,UNKNOWN,trans.pdf,Töchter eine Figur abgeben mit der sich
abgeholzt,abgeholzt,,,dativ,UNKNOWN,trans.pdf,bei dass Urwälder abgeholzt werden Tierarten ausster
abgekürzt,abgekürzt,,,,UNKNOWN,trans.pdf,COPD chronisch-obstruktiv Lungenerkrankung abgekürzt der die Erkrankte
abgelegenen,abgelegenen,einem,abgelegenene,,NOUN,trans.pdf,unauffällig in einem abgelegenen Winkel Afrikas lebt
abgerufen,abgerufen,,,,UNKNOWN,trans.pdf,das später aber abgerufen werden kann erklärt
abgeschafft,abgeschafft,,,,UNKNOWN,trans.pdf,behäbig und gehören abgeschafft Moderatorin Wieso denn
abgeschiedenen,abgeschiedenen,einen,abgeschiedenene,,NOUN,trans.pdf,müssen Sie einen abgeschiedenen Ort genauer gesagt
Abgeschiedenheit,abgeschiedenheit,die,Abgeschiedenheite,akkusativ,NOUN,trans.pdf,gegen AKK die Abgeschiedenheit erstklassig die Informationsquelle
abgespeichert,abgespeichert,,,dativ,UNKNOWN,trans.pdf,Gedächtnisinhalten welche bereits abgespeichert sind Da bei
abgrenzen,abgrenzen,,,dativ,UNKNOWN,trans.pdf,wer den voneinander abgrenzen Ein Gefühl beschreibt
Abgrenzung,abgrenzung,die,Abgrenzunge,dativ,NOUN,trans.pdf,Neuerung en die Abgrenzung die Begleiterscheinung en
Abgänger,abgänger,die,Abgängern,dativ,NOUN,trans.pdf,dann erwarten die Abgänger dass sie mit
abhält,abhält,,,dativ,UNKNOWN,trans.pdf,Men schen davon abhält schwere Straftaten zu
abhängig,abhängig,,,,UNKNOWN,trans.pdf,im mer weniger abhängig vom Klima gemacht
Ablauf,ablauf,der,Ablaufe,,NOUN,trans.pdf,tauen eingefroren der Ablauf e gewissermaßen der
ablehnend,ablehnend,,,,UNKNOWN,trans.pdf,Lernbereitschaft demonstrieren sich ablehnend zeigen übernommen der
Ablehnung,ablehnung,die,Ablehnunge,dativ,NOUN,trans.pdf,Forschende n die Ablehnung profitieren von DAT
ableiten,ableiten,,,,UNKNOWN,trans.pdf,Momentaufnahme nichts Verlässliches ableiten kann Das zweite
abmacht,abmacht,,,,UNKNOWN,trans.pdf,man das Etikett abmacht oder ihnen die
Abmahnkosten,abmahnkosten,die,Abmahnkostene,,NOUN,trans.pdf,der Influencer die Abmahnkosten und eventuell auch
Abnehm-Pfad,abnehm-pfad,der,Abnehm-Pfade,,NOUN,trans.pdf,Ideen bringen der Abnehm-Pfad ab bringen die
Abnehmen,abnehmen,das,Abnehmene,,NOUN,trans.pdf,Büroangestelltin nen das Abnehmen der Diätwillige auf
abrufen,abrufen,,,,UNKNOWN,trans.pdf,mal etwas nicht abrufen Das ist völlig
Abrufprozess,abrufprozess,der,Abrufprozesse,,NOUN,trans.pdf,der Speicherprozess der Abrufprozess erforschen das Langzeitgedächtnissystem
Absatz,absatz,einen,Absatze,dativ,NOUN,trans.pdf,Stilmittel wie einen Absatz eine andere Farbe
Absatzmarkt,absatzmarkt,der,Absatzmarkte,akkusativ,NOUN,trans.pdf,Tabakkonsumentin nen der Absatzmarkt e betreffen in
abschließen,abschließen,,,dativ,UNKNOWN,trans.pdf,in die Zukunft abschließen FaD galrevlaizepS sixarP
abschließend,abschließend,,,dativ,UNKNOWN,trans.pdf,nehmen die Sicherung abschließend der Nutzen jenseits
abschreckendes,abschreckendes,,,dativ,UNKNOWN,trans.pdf,einmal mehr als abschreckendes Beispiel Moderator Klingt
Abschreckung,abschreckung,der,Abschreckunge,akkusativ,NOUN,trans.pdf,das Argument der Abschreckung gebracht also dass
Abschweifen,abschweifen,das,Abschweifene,,NOUN,trans.pdf,Inspiration en das Abschweifen hierhin dorthin das
absehbar,absehbar,,,dativ,UNKNOWN,trans.pdf,Erderwärmung schwerwiegend vollständig absehbar der Ausstoß klimaschädlich
absichtlich,absichtlich,,,,UNKNOWN,trans.pdf,Schreibstil e kontraintuitiv absichtlich konzentriert schweifend sich
absolu,absolu,,,dativ,UNKNOWN,trans.pdf,nämlich der vermeintlich absolu ten Objektivität von
absolut,absolut,das,absolute,,NOUN,trans.pdf,mehr als das absolut Nötige verlan gen
absolutes,absolutes,ein,absolutese,,NOUN,trans.pdf,ist ebenfalls ein absolutes Tabu Hier werden
Absolventin,absolventin,die,Absolventine,,NOUN,trans.pdf,Betriebswirtschaftslehre-Absolvent en die Absolventin nen der Beraterjob
absolvieren,absolvieren,,,dativ,UNKNOWN,trans.pdf,können eine Ausbildung absolvieren Arbeitserfahrungen sammeln sie
abstammt,abstammt,,,,UNKNOWN,trans.pdf,sapiens vom Affen abstammt Wie wurde diese
Abstammung,abstammung,die,Abstammunge,dativ,NOUN,trans.pdf,dürfte wohl die Abstammung des Menschen von
Abstieg,abstieg,der,Abstiege,akkusativ,NOUN,trans.pdf,der Aufstieg der Abstieg das Individuum Individuen
abstrakt,abstrakt,,,,UNKNOWN,trans.pdf,eine Information sowohl abstrakt als auch bildlich
abstreiten,abstreiten,,,akkusativ,UNKNOWN,trans.pdf,sich wohl kaum abstreiten dass ich und
Abstrich,abstrich,der,Abstriche,akkusativ,NOUN,trans.pdf,für gänzlich der Abstrich e der Lebensstandard
absurd,absurd,,,,UNKNOWN,trans.pdf,den ersten Blick absurd wirkende Resultat führen
absurde,absurde,,,dativ,UNKNOWN,trans.pdf,jeder noch so absurde Zusatzangebote auf den
abverlangt,abverlangt,,,dativ,UNKNOWN,trans.pdf,von den Lernenden abverlangt Meine Gäste im
Abweichung,abweichung,die,Abweichunge,,NOUN,trans.pdf,grammatikalisch einwandfrei die Abweichung en enthüllen vermeintlich
abzuleiten,abzuleiten,,,dativ,UNKNOWN,trans.pdf,daraus etwas Handfestes abzuleiten Vielleicht gelingt das
abzunehmen,abzunehmen,,,dativ,UNKNOWN,trans.pdf,die rosarote Brille abzunehmen und die Ansprüche
abzuschmettern,abzuschmettern,,,dativ,UNKNOWN,trans.pdf,nicht jede Kritik abzuschmettern sondern sich genau
abzuwarten,abzuwarten,,,dativ,UNKNOWN,trans.pdf,wir ihre Entscheidungen abzuwarten haben Moderatorin Herr
achselzuckend,achselzuckend,,,dativ,UNKNOWN,trans.pdf,die Hilflosigkeit online-süchtig achselzuckend apropos die Diagnose
acht,acht,,,dativ,UNKNOWN,trans.pdf,nicht sein mindestens acht Stunden pro Nacht
achten,achten,,,dativ,UNKNOWN,trans.pdf,wobei darauf zu achten ist das richtige
achtgeben,achtgeben,,,,UNKNOWN,trans.pdf,auf die Social-Media-Nutzer achtgeben müssen Die größten
addiert,addiert,,,dativ,UNKNOWN,trans.pdf,unter Optimierungszwängen dazu addiert sich die psychische
Adel,adel,der,Adeln,,NOUN,trans.pdf,der Klerus der Adel die Verteilung gesellschaftlich
Adoleszenz,adoleszenz,die,Adoleszenze,,NOUN,trans.pdf,erhöht wünschenswert die Adoleszenz in besserem Licht
Aerodynamik,aerodynamik,die,Aerodynamike,dativ,NOUN,trans.pdf,s demzufolge die Aerodynamik simulieren die Konstruktion
afrikanisch,afrikanisch,,,akkusativ,UNKNOWN,trans.pdf,die Drohne n afrikanisch das Tracking-Gerät e
aggressiv,aggressiv,,,,UNKNOWN,trans.pdf,geschutzt das Übertreten aggressiv Test Lesen Teil
aggressiven,aggressiven,,,dativ,UNKNOWN,trans.pdf,aus Prinzip mit aggressiven Reinigungsmitteln bekämpfen zu
agieren,agieren,,,,UNKNOWN,trans.pdf,Lehrperson als Begleiter agieren und die Schülerinnen
agile,agile,,,,UNKNOWN,trans.pdf,wendige das heißt agile Prinzipien und Methoden
agileren,agileren,,,dativ,UNKNOWN,trans.pdf,Unternehmen zu einer agileren Organisation entwickeln möchte
Agilitätsprinzip,agilitätsprinzip,dem,Agilitätsprinzipe,dativ,NOUN,trans.pdf,Anforderungen Nach dem Agilitätsprinzip ist die Mitarbeiterförderung
ahnen,ahnen,,,,UNKNOWN,trans.pdf,Wie der Name ahnen lässt werden Smart
Akademikerpaar,akademikerpaar,das,Akademikerpaare,dativ,NOUN,trans.pdf,das Abendbrot das Akademikerpaar e die Mittagspause
Akkumulator,akkumulator,der,Akkumulatore,akkusativ,NOUN,trans.pdf,Elektromotor en der Akkumulator en Akku s
Akteur,akteur,der,Akteure,dativ,NOUN,trans.pdf,die Ausübung der Akteur e die Akteurin
Akteurin,akteurin,die,Akteurine,,NOUN,trans.pdf,Akteur e die Akteurin nen gestalten an
aktiv,aktiv,,,dativ,UNKNOWN,trans.pdf,eine der Sprachen aktiv zu gebrauchen Wie
aktiver,aktiver,ein,aktivern,,NOUN,trans.pdf,ist immer ein aktiver Prozess Lehrkräfte können
aktivieren,aktivieren,,,dativ,UNKNOWN,trans.pdf,das Arbeitskräftepotenzial e aktivieren die Beschäftigungszahl en
aktiviert,aktiviert,,,dativ,UNKNOWN,trans.pdf,en keineswegs vernachlässigen aktiviert der Mechanismus die
Aktivierungssystem,aktivierungssystem,ein,Aktivierungssysteme,,NOUN,trans.pdf,Dort ist ein Aktivierungssystem angesiedelt das wie
aktuell,aktuell,eine,aktuelle,,NOUN,trans.pdf,über Präzisionsernährung eine aktuell vieldiskutierte individuelle Ernäh
aktuelle,aktuelle,der,aktuellen,,NOUN,trans.pdf,Frau Reimer der aktuelle Bericht des Weltklimarats
aktuellsten,aktuellsten,die,aktuellstene,,NOUN,trans.pdf,das zeigen die aktuellsten Befunde Aber wie
akustisch,akustisch,,,akkusativ,UNKNOWN,trans.pdf,Tiefschlaf wahr nehmen akustisch differenzieren das für
akustisch-sprachliches,akustisch-sprachliches,ein,akustisch-sprachlichese,"akkusativ, dativ",NOUN,trans.pdf,visuell-räumliches und ein akustisch-sprachliches Beide können gleichzeitig
akut,akut,,,dativ,UNKNOWN,trans.pdf,der Sauerstoff ausgeatmet akut ermitteln mathegestresst Praxis
akzentfrei,akzentfrei,,,,UNKNOWN,trans.pdf,Standardsprache n lehren akzentfrei grammatikalisch einwandfrei die
akzeptabel,akzeptabel,,,,UNKNOWN,trans.pdf,e der Lebensstandard akzeptabel auffallend auftretend die
Akzeptanz,akzeptanz,die,Akzeptanze,,NOUN,trans.pdf,stehen DAT die Akzeptanz FaD galrevlaizepS sixarP
akzeptieren,akzeptieren,,,dativ,UNKNOWN,trans.pdf,es aber zu akzeptieren So wollen FaD
akzeptiert,akzeptiert,,,"akkusativ, dativ",UNKNOWN,trans.pdf,denn der Hund akzeptiert sein menschliches Gegenüber
