original,lemma,article,plural,case_usage,pos,source,context
Abbau,abbau,der,Abbaue,,NOUN,trans.pdf,vor Christus der Abbau das Erz e
abbauen,abbauen,,abbauene,"akkusativ, dativ",NOUN,trans.pdf,zum Beispiel Barrieren abbauen und hilfreiche Anhaltspunkte
Abend,abend,,Abende,,NOUN,trans.pdf,HÖRTEXT Moderator Guten Abend liebe Hörerinnen und
Abendbrot,abendbrot,das,Abendbrote,,NOUN,trans.pdf,enthüllen vermeintlich das Abendbrot das Akademikerpaar e
Abendessen,abendessen,das,Abendessene,akkusativ,NOUN,trans.pdf,das Glücksprestige das Abendessen der Traumurlaub der
Abendland,abendland,das,Abendlande,,NOUN,trans.pdf,Säule n das Abendland in kulinarischer Hinsicht
abends,abends,,abendse,,NOUN,trans.pdf,Da sie aber abends später müde werden
Abenteurer,abenteurer,der,Abenteurern,,NOUN,trans.pdf,Hippie s der Abenteurer die Abenteurerin nen
Abenteurerin,abenteurerin,die,Abenteurerine,,NOUN,trans.pdf,der Abenteurer die Abenteurerin nen der Sinnsucher
Abfälle,abfälle,,Abfällen,"akkusativ, dativ",NOUN,trans.pdf,Tierfutterauf nahme durch Abfälle und Reste aus
abgebaut,abgebaut,,abgebaute,dativ,NOUN,trans.pdf,von Mikroorganismen biologisch abgebaut und in unschädli
abgeben,abgeben,,abgebene,dativ,NOUN,trans.pdf,Töchter eine Figur abgeben mit der sich
abgeholzt,abgeholzt,,abgeholzte,dativ,NOUN,trans.pdf,bei dass Urwälder abgeholzt werden Tierarten ausster
abgekürzt,abgekürzt,,abgekürzte,,NOUN,trans.pdf,COPD chronisch-obstruktiv Lungenerkrankung abgekürzt der die Erkrankte
abgelegenen,abgelegenen,einem,abgelegenene,,NOUN,trans.pdf,unauffällig in einem abgelegenen Winkel Afrikas lebt
abgerufen,abgerufen,,abgerufene,,NOUN,trans.pdf,das später aber abgerufen werden kann erklärt
abgeschafft,abgeschafft,,abgeschaffte,,NOUN,trans.pdf,behäbig und gehören abgeschafft Moderatorin Wieso denn
abgeschiedenen,abgeschiedenen,einen,abgeschiedenene,,NOUN,trans.pdf,müssen Sie einen abgeschiedenen Ort genauer gesagt
Abgeschiedenheit,abgeschiedenheit,die,Abgeschiedenheiten,akkusativ,NOUN,trans.pdf,gegen AKK die Abgeschiedenheit erstklassig die Informationsquelle
abgespeichert,abgespeichert,,abgespeicherte,dativ,NOUN,trans.pdf,Gedächtnisinhalten welche bereits abgespeichert sind Da bei
abgrenzen,abgrenzen,,abgrenzene,dativ,NOUN,trans.pdf,wer den voneinander abgrenzen Ein Gefühl beschreibt
Abgrenzung,abgrenzung,die,Abgrenzungen,dativ,NOUN,trans.pdf,Neuerung en die Abgrenzung die Begleiterscheinung en
Abgänger,abgänger,die,Abgängern,dativ,NOUN,trans.pdf,dann erwarten die Abgänger dass sie mit
abhält,abhält,,abhälte,dativ,NOUN,trans.pdf,Men schen davon abhält schwere Straftaten zu
abhängig,abhängig,,abhängige,,NOUN,trans.pdf,im mer weniger abhängig vom Klima gemacht
Abhängigkeit,abhängigkeit,,Abhängigkeiten,,NOUN,trans.pdf,Buch die jährige Abhängigkeit des Menschen vom
Ablauf,ablauf,der,Ablaufe,,NOUN,trans.pdf,tauen eingefroren der Ablauf e gewissermaßen der
ablehnend,ablehnend,,ablehnende,,NOUN,trans.pdf,Lernbereitschaft demonstrieren sich ablehnend zeigen übernommen der
Ablehnung,ablehnung,die,Ablehnungen,dativ,NOUN,trans.pdf,Forschende n die Ablehnung profitieren von DAT
ableiten,ableiten,,ableitene,,NOUN,trans.pdf,Momentaufnahme nichts Verlässliches ableiten kann Das zweite
abmacht,abmacht,,abmachte,,NOUN,trans.pdf,man das Etikett abmacht oder ihnen die
Abmahnkosten,abmahnkosten,die,Abmahnkostene,,NOUN,trans.pdf,der Influencer die Abmahnkosten und eventuell auch
Abnehm-Pfad,abnehm-pfad,der,Abnehm-Pfade,,NOUN,trans.pdf,Ideen bringen der Abnehm-Pfad ab bringen die
Abnehmen,abnehmen,das,Abnehmene,,NOUN,trans.pdf,Büroangestelltin nen das Abnehmen der Diätwillige auf
abrufen,abrufen,,abrufene,,NOUN,trans.pdf,mal etwas nicht abrufen Das ist völlig
Abrufprozess,abrufprozess,der,Abrufprozesse,,NOUN,trans.pdf,der Speicherprozess der Abrufprozess erforschen das Langzeitgedächtnissystem
Absatz,absatz,einen,Absatze,dativ,NOUN,trans.pdf,Stilmittel wie einen Absatz eine andere Farbe
Absatzmarkt,absatzmarkt,der,Absatzmarkte,akkusativ,NOUN,trans.pdf,Tabakkonsumentin nen der Absatzmarkt e betreffen in
abschließen,abschließen,,abschließene,dativ,NOUN,trans.pdf,in die Zukunft abschließen FaD galrevlaizepS sixarP
abschließend,abschließend,,abschließende,dativ,NOUN,trans.pdf,nehmen die Sicherung abschließend der Nutzen jenseits
abschreckendes,abschreckendes,,abschreckendese,dativ,NOUN,trans.pdf,einmal mehr als abschreckendes Beispiel Moderator Klingt
Abschreckung,abschreckung,der,Abschreckungen,akkusativ,NOUN,trans.pdf,das Argument der Abschreckung gebracht also dass
Abschweifen,abschweifen,das,Abschweifene,,NOUN,trans.pdf,Inspiration en das Abschweifen hierhin dorthin das
absehbar,absehbar,,absehbare,dativ,NOUN,trans.pdf,Erderwärmung schwerwiegend vollständig absehbar der Ausstoß klimaschädlich
absichtlich,absichtlich,,absichtliche,,NOUN,trans.pdf,Schreibstil e kontraintuitiv absichtlich konzentriert schweifend sich
absolu,absolu,,absolue,dativ,NOUN,trans.pdf,nämlich der vermeintlich absolu ten Objektivität von
absolut,absolut,das,absolute,,NOUN,trans.pdf,mehr als das absolut Nötige verlan gen
absolutes,absolutes,ein,absolutese,,NOUN,trans.pdf,ist ebenfalls ein absolutes Tabu Hier werden
Absolventin,absolventin,die,Absolventine,,NOUN,trans.pdf,Betriebswirtschaftslehre-Absolvent en die Absolventin nen der Beraterjob
absolvieren,absolvieren,,absolvierene,dativ,NOUN,trans.pdf,können eine Ausbildung absolvieren Arbeitserfahrungen sammeln sie
